2024-11-29 09:56:43; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-5; fb7b694f-4cdf-4bca-9abd-e68fe8564150; Mapper; $Proxy168_findById; 59
2024-11-29 09:56:43; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-5; fb7b694f-4cdf-4bca-9abd-e68fe8564150; Service; QuickService_getItemById; 78
2024-11-29 09:56:43; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-5; fb7b694f-4cdf-4bca-9abd-e68fe8564150; Controller; QuickController_getItem; 116
2024-11-29 10:16:26; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-5; ce7b01ae-946a-441d-ab41-745b6894ee9d; Controller; QuickController_getItem; start
2024-11-29 10:16:26; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-5; ce7b01ae-946a-441d-ab41-745b6894ee9d; Service; QuickService_getItemById; start
2024-11-29 10:16:26; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-5; ce7b01ae-946a-441d-ab41-745b6894ee9d; Mapper; $Proxy168_findById; start
2024-11-29 10:16:26; com.example.neobns.logging.common.MybatisLoggingInterceptor; INFO; http-nio-7777-exec-5; ce7b01ae-946a-441d-ab41-745b6894ee9d; SQL; SELECT * FROM item WHERE id = ?; 3
2024-11-29 10:16:26; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-5; ce7b01ae-946a-441d-ab41-745b6894ee9d; Mapper; $Proxy168_findById; 40
2024-11-29 10:16:26; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-5; ce7b01ae-946a-441d-ab41-745b6894ee9d; Service; QuickService_getItemById; 61
2024-11-29 10:16:26; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-5; ce7b01ae-946a-441d-ab41-745b6894ee9d; Controller; QuickController_getItem; 85
2024-11-29 10:28:25; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-3; 43f3e9ab-8a3a-49c9-9077-6f596ee28564; Controller; TransferController_transfer; start
2024-11-29 10:28:25; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-3; 43f3e9ab-8a3a-49c9-9077-6f596ee28564; Service; TransferService_initiateTransfer; start
2024-11-29 10:28:25; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-3; 43f3e9ab-8a3a-49c9-9077-6f596ee28564; REST call; http://localhost:8000/transfer/ex; start; user-4788bd08
2024-11-29 10:28:26; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-3; 43f3e9ab-8a3a-49c9-9077-6f596ee28564; REST call; http://localhost:8000/transfer/ex; 1031; user-4788bd08
2024-11-29 10:28:27; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-3; 43f3e9ab-8a3a-49c9-9077-6f596ee28564; Service; TransferService_initiateTransfer; 1091
2024-11-29 10:28:27; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-3; 43f3e9ab-8a3a-49c9-9077-6f596ee28564; Controller; TransferController_transfer; 1127
2024-11-29 10:28:30; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-4; cbdbad7a-d262-48e2-91c6-7932423b9ba4; Controller; QuickController_getItem; start
2024-11-29 10:28:30; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-4; cbdbad7a-d262-48e2-91c6-7932423b9ba4; Service; QuickService_getItemById; start
2024-11-29 10:28:30; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-4; cbdbad7a-d262-48e2-91c6-7932423b9ba4; Mapper; $Proxy168_findById; start
2024-11-29 10:28:30; com.example.neobns.logging.common.MybatisLoggingInterceptor; INFO; http-nio-7777-exec-4; cbdbad7a-d262-48e2-91c6-7932423b9ba4; SQL; SELECT * FROM item WHERE id = ?; 18
2024-11-29 10:28:30; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-4; cbdbad7a-d262-48e2-91c6-7932423b9ba4; Mapper; $Proxy168_findById; 58
2024-11-29 10:28:30; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-4; cbdbad7a-d262-48e2-91c6-7932423b9ba4; Service; QuickService_getItemById; 79
2024-11-29 10:28:30; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-4; cbdbad7a-d262-48e2-91c6-7932423b9ba4; Controller; QuickController_getItem; 97
2024-11-29 10:28:34; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-7; 1f610b3f-a2bb-474b-88cb-7e37bf3feedd; Controller; TransferController_transfer; start
2024-11-29 10:28:34; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-7; 1f610b3f-a2bb-474b-88cb-7e37bf3feedd; Service; TransferService_initiateTransfer; start
2024-11-29 10:28:34; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-7; 1f610b3f-a2bb-474b-88cb-7e37bf3feedd; REST call; http://localhost:8000/transfer/ex; start; user-88a3b435
2024-11-29 10:28:36; com.example.neobns.logging.common.RestTemplateLoggingInterceptor; INFO; http-nio-7777-exec-7; 1f610b3f-a2bb-474b-88cb-7e37bf3feedd; REST call; http://localhost:8000/transfer/ex; 1039; user-88a3b435
2024-11-29 10:28:36; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-7; 1f610b3f-a2bb-474b-88cb-7e37bf3feedd; Service; TransferService_initiateTransfer; 1080
2024-11-29 10:28:36; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-7; 1f610b3f-a2bb-474b-88cb-7e37bf3feedd; Controller; TransferController_transfer; 1113
2024-11-29 10:29:17; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 425657a4-bd88-42aa-8595-b8041570f6fa; Controller; TransferController_transfer; start
2024-11-29 10:29:17; com.example.neobns.logging.common.LoggingAspect; INFO; http-nio-7777-exec-2; 425657a4-bd88-42aa-8595-b8041570f6fa; Service; TransferService_initiateTransfer; start
